zip,date,predicted_price,model_used
20020,2027-01-31,368114.4439225184,arima
20020,2027-02-28,368114.44392250606,arima
20020,2027-03-31,368114.4439225041,arima
20020,2027-04-30,368114.4439225038,arima
20020,2027-05-31,368114.44392250373,arima
20020,2027-06-30,368114.44392250373,arima
20020,2027-07-31,368114.44392250373,arima
20020,2027-08-31,368114.44392250373,arima
20020,2027-09-30,368114.44392250373,arima
20020,2027-10-31,368114.44392250373,arima
20020,2027-11-30,368114.44392250373,arima
20020,2027-12-31,368114.44392250373,arima
20024,2026-01-31,396885.218893738,arima
20024,2026-02-28,396708.2388389963,arima
20024,2026-03-31,396671.6320720173,arima
20024,2026-04-30,396664.06028439064,arima
20024,2026-05-31,396662.49412674835,arima
20024,2026-06-30,396662.1701808215,arima
20024,2026-07-31,396662.1031754571,arima
20024,2026-08-31,396662.0893159871,arima
20024,2026-09-30,396662.08644927765,arima
20024,2026-10-31,396662.085856324,arima
20024,2026-11-30,396662.08573367674,arima
20024,2026-12-31,396662.0857083082,arima
20024,2027-01-31,396662.08570306096,arima
20024,2027-02-28,396662.0857019756,arima
20024,2027-03-31,396662.0857017511,arima
20024,2027-04-30,396662.08570170467,arima
20024,2027-05-31,396662.08570169506,arima
20024,2027-06-30,396662.0857016931,arima
20024,2027-07-31,396662.0857016927,arima
20024,2027-08-31,396662.0857016926,arima
20024,2027-09-30,396662.0857016926,arima
20024,2027-10-31,396662.0857016926,arima
20024,2027-11-30,396662.0857016926,arima
20024,2027-12-31,396662.0857016926,arima
20032,2026-01-31,335092.0180390423,arima
20032,2026-02-28,334984.6996941554,arima
20032,2026-03-31,334963.5250067623,arima
20032,2026-04-30,334959.3470874451,arima
20032,2026-05-31,334958.5227536782,arima
20032,2026-06-30,334958.36010665045,arima
20032,2026-07-31,334958.32801521284,arima
20032,2026-08-31,334958.3216833396,arima
20032,2026-09-30,334958.3204340151,arima
20032,2026-10-31,334958.32018751436,arima
20032,2026-11-30,334958.32013887796,arima
20032,2026-12-31,334958.32012928167,arima
20032,2027-01-31,334958.32012738823,arima
20032,2027-02-28,334958.32012701465,arima
20032,2027-03-31,334958.32012694096,arima
20032,2027-04-30,334958.3201269264,arima
20032,2027-05-31,334958.32012692356,arima
20032,2027-06-30,334958.320126923,arima
20032,2027-07-31,334958.32012692286,arima
20032,2027-08-31,334958.32012692286,arima
20032,2027-09-30,334958.32012692286,arima
20032,2027-10-31,334958.32012692286,arima
20032,2027-11-30,334958.32012692286,arima
20032,2027-12-31,334958.32012692286,arima
20036,2026-01-31,381445.9272103503,arima
20036,2026-02-28,381416.3615115141,arima
20036,2026-03-31,381411.76181915664,arima
20036,2026-04-30,381411.04622065515,arima
20036,2026-05-31,381410.9348912062,arima
20036,2026-06-30,381410.9175710942,arima
20036,2026-07-31,381410.9148765126,arima
20036,2026-08-31,381410.91445730225,arima
20036,2026-09-30,381410.9143920835,arima
20036,2026-10-31,381410.91438193707,arima
20036,2026-11-30,381410.91438035853,arima
20036,2026-12-31,381410.91438011295,arima
20036,2027-01-31,381410.91438007477,arima
20036,2027-02-28,381410.91438006883,arima
20036,2027-03-31,381410.9143800679,arima
20036,2027-04-30,381410.9143800678,arima
20036,2027-05-31,381410.9143800678,arima
20036,2027-06-30,381410.9143800678,arima
20036,2027-07-31,381410.9143800678,arima
20036,2027-08-31,381410.9143800678,arima
20036,2027-09-30,381410.9143800678,arima
20036,2027-10-31,381410.9143800678,arima
20036,2027-11-30,381410.9143800678,arima
20036,2027-12-31,381410.9143800678,arima
20037,2026-01-31,552921.4703616156,arima
20037,2026-02-28,552904.3322458945,arima
20037,2026-03-31,552902.912467479,arima
20037,2026-04-30,552902.7948483205,arima
20037,2026-05-31,552902.7851043589,arima
20037,2026-06-30,552902.7842971368,arima
20037,2026-07-31,552902.7842302639,arima
20037,2026-08-31,552902.7842247239,arima
20037,2026-09-30,552902.784224265,arima
20037,2026-10-31,552902.784224227,arima
20037,2026-11-30,552902.7842242238,arima
20037,2026-12-31,552902.7842242236,arima
20037,2027-01-31,552902.7842242236,arima
20037,2027-02-28,552902.7842242236,arima
20037,2027-03-31,552902.7842242236,arima
20037,2027-04-30,552902.7842242236,arima
20037,2027-05-31,552902.7842242236,arima
20037,2027-06-30,552902.7842242236,arima
20037,2027-07-31,552902.7842242236,arima
20037,2027-08-31,552902.7842242236,arima
20037,2027-09-30,552902.7842242236,arima
20037,2027-10-31,552902.7842242236,arima
20037,2027-11-30,552902.7842242236,arima
20037,2027-12-31,552902.7842242236,arima
